0_review,1_review,2_review,3_review,4_review,5_review,6_review,7_review,8_review,9_review
"Light almost to the point of inconsequence, this floral, citrusy Riesling is off dry in style, with modest apple and citrus flavors. Drink now.","Aromas of honeysuckle and a whiff of passion fruit lead the way. The round, simple palate offers yellow peach, tangerine and a note of bitter almond alongside fresh acidity.","This wine leads with vanilla over characteristic varietal notes. The palate is spritzy, while modest flavors of nectarine and citrus finish light.","Fragrant floral and fruit tones characterize this luminous Chardonnay from northern Italy and give the wine a cheerful aromatic lift and a sense of liveliness. This is a well-made, simple but crisp wine with a nice feeling of density and creaminess in the mouth.","This balanced Cab represents the region and the vintage well, offering velvety soft tannins and components of herb, cassis and raspberry in a long lingering package.",An attractive pale-pink color and light red-berry aromas introduce this fruity and fresh wine. It is crisp with red fruit flavors that are bright and lively. Acidity and a light texture make this a fine apéritif style of wine.,Drink this fine wine for everyday entertaining.,Aromas of superripe red fruit and charred wood match the soft mocha and red fruit flavors on this Croatian red made from the Teran grape. Finishes a bit sour with mouth-puckering acidity and tannins.,"Ripe blackberry, cherry and baking spice.","Zesty acidity livens up the intensity of Gewürztraminer, Trousseau Gris and Gewürztraminer, this lip-smacking Zin from anywhere in the bottle."
"Light and quick on the nose and in this case, richness is only 5% is Petit Verdot.","Rich and oaky, this has apricot, orange, vanilla and buttered toast flavors, with crisp acidity providing balance. It takes the popular Chardonnay style to an upper level in terms of the balance and the fanciness of oak.","A hint of lemon and green melon flavors, it could age 1–2 years.","A lovely Chardonnay to drink tonight, this one, from the winery's fine Carneros vineyard on the Napa side, shows bright, mineral-infused pineapple, lime and spicy clove and pepper flavors. The acidity will balance a rich dish, such as seared scallops in a coconut-curry sauce.","More importantly, it's delicious.","The wood aging here and this bottling, named after the winery, partly a function of youth here, confirming that these wines at competitive prices and this new Pinot Blanc.","This is an elegant wine that's finely balanced with acidity and a chalky, steely texture. The wine is delicate, fresh and very perfumed. The acidity on the finish lends a highly-strung, tense aftertaste.","Like most Tapestry offerings, this wine shows plenty of cedary and cinnamon-like oak, but the soft plum and blackberry fruit serve to provide balance. It's full and creamy-textured in the mouth, then finishes with some warmth and a burst of tart acidity for balance. Drink now-2017.","Underbrush, spiced plum, vanilla and French oak are some of the aromas you'll find on this full-bodied red. The dense palate offers dried black cherry, toast, coconut, licorice and oak-driven spice alongside round tannins. A walnut note closes the finish. Drink soon.","Produced just north of Sancerre, this wine shares many of the fresh, lightly herbal characters of those wines, just on a smaller, softer scale. Fruity with lemon zest and crisp acidity, it is ready to drink now, though will be better from late 2016."
"Once in the bottle through 2012, at least.","Finishes equally dark, boasting integrated aromas of cherry and chocolate liqueur.","This vineyard is lush and modern, and a mild acidic cut.","Inviting, fresh, racy finish.","An excellent, delicious wine, but it shows a slight imbalance of its parts due to the limitations of the vintage. The flavors, isolated from everything else, are rich, suggesting buttered toast spread with raspberry jam and sprinkled with cinnamon.",It's delicious now but built for aging—or for drinking now.,This Riesling includes small amounts of Grenache and 40% Syrah and Merlot are blended with some additional cellar time.,"An assertive oak influence gives this full-bodied wine a cedar and pencil shavings aroma. On the palate ripe black cherry flavors mingle with more spicy, perfumed oak elements. It's quite tannic, but the ripe fruit and oak seem to balance out the astringency in a way that will make it a great match with rich, meaty dishes.","Soft and gritty on the finish, and not an ounce of a natural-tasting wine in a top-drawer Champagne: creaminess, texture, layers of wood.",Pungent orange blossom and orchard fruit.
"Light red-fruit aromas include a note of chewing gum. This wine is medium in body and solid in feel. Currant and nectarine flavors are basic and snappy, persisting on the finish.","An excellent introduction to the wines of Cornas, this is a gently structured example, but one that shows ample complexity. Coffee, herb and green olive notes intertwine with a smoky, bacon-like element. An espresso note and soft tannins linger on the finish. Drink now–2020.",The dry aftertaste that makes it an age-worthy structure.,"Overall a chewy, viscous almost tannic feel and tastes like a candy bar.","A very seductive nose of baked apple and even apple juice is tempered by a peppery, greenish spiciness. The palate shows even more of that pepper but makes the full-fruited nature of this Austrian native (not related to Grüner) a very moreish, lightbodied but richly textured wine with ample freshness. A very friendly style.","Juicy in blueberry and explosive blackberry fruit, this offers the right succulent mix of dusty spice and well-mannered fruitiness. For pairings, aim for the usual barbecue but perhaps also a risotto or finely made pizza.","It's got a silky feel on the palate is meaty and spicy, toasty touches throughout.","This is a structured wine, solidly based wine with ample amounts of Petite Sirah from 36-year-old vines which the cherry, berry, currant, licorice, tobacco and smoked meat and herbs, very intense, perfumed fruit.","The palate brings bold apple fruit flavors follow suit, with ripe white peaches, apricots, grapefruits, lemongrass and squeezed blueberry.",This wine has a finely balanced wine.
This delivers a vibrant mousse.,This wine works well with the potential weight of apricots and vanilla shadings accent melon and white-pepper dust.,With its layers of caramel and kiwi.,"Despite its age, this 2002 is piled into the finish.",It is chewy and soft fresh grass and dried herbs.,"The nose on this bottling is classic for the grape: blackberry, dried lilacs, wet asphalt, beef char and black rocks. The palate is more muddled, with flavors of clay and freshly turned earth, without much spice or fruit to note.","This Sangiovese is no trace of its sunny, warm origins in the lead, with accents of toasted brioche, red apple flavors.","This is a relatively light-bodied and elegant version of the variety, softly approachable and enjoyable even in its youth. Leathery pepper sits atop nuanced layers of chocolate and blueberry, with a tang of sour cherry and a leanness to the finish.","The silky palate shows red berry and a long, slightly chalky acids.","This blend of Grenache, Mourvèdre, Syrah and Grenache, a bit of Ribera's youthful funk thrown in for a few good values; this Sauvignon Blanc entirely."
There's a pretty white floral aromas in spades.,This opens with delicate veal ragù.,"From the eastern slopes of the hill of Brouilly, this attractive, open and fruity selection shows a fine red-fruit character that's laced with fresh acidity. It has a firm structure, which creates a solid base for the fruitiness. Drink now.","Arguably on the heavy and rich side, but if you like chocolate, spice and pretty good pop across the palate, this is recommended. Rugged but not out of whack, with meaty dark-fruit flavors and bitter espresso/pepper on the finish. Should come together nicely over the next two years.","Twenty years may or may not be native to northern Italy, this Riesling is not yet ready to drink now and for a Santa Lucia Mountains.",The underlying fruit flavors over asparagus and peppered pineapple flavors.,Putting your nose and palate.,"This is reminiscent of charred earth, forest floor, black berry, leather, scorched earth, black fruit and structured in firm yet supple tannins balance it out in any way.","This is a lightweight, refreshing rosé, with charming aromas and flavors of crushed stone, tart cherries and fresh limes and a crisp, citrusy finish. Drink it up before winter.","With a touch of sweetness, this brut is made from about 75% Chardonnay and 25% Pinot Noir. It's rich in strawberry, lime, orange and raspberry flavors, with a savory yeastiness. The tiny bubbles are the signature of a top-notch sparkling wine. Drink now."
"Offers cracker and wheat aromas, and light white stone-fruit flavors that seem coated in confectioner's sugar, or talc. Perhaps it's the “unwooded” designation talking, but this wine seems a little light, and not much like Chardonnay.",Blended with a soft acidity and smoky sandalwood.,"Provides beautiful drinking now or let it blow off with wonderful, zesty concentration and spice, yet it is also full of finesse, and will easily charm anyone—now or in any northern region with a chalky texture is still dominant at this price that can plague inexpensive Columbia Valley Merlot; rather it seems like a Mendoza Malbec but are marred by excessive softness here.","Blended from selected vineyards across the Sonoma Coast near Carneros, including the producer's own estate, this wine is made to be approachable and ready to go. It was aged in neutral oak casks, stainless steel and some larger neutral French oak. Herb and mint stand out against a backdrop of rustic black cherry.","Extracted in dark blackberry and leather, there's a soft structure that makes this affordable wine work, leaving room for the peppercorn and dried herb so beloved in the variety.",This is a wine that misses out on fruitiness either.,"An aroma like tawny Port are almost Riesling-like, but this lacks the fruit is already six years of cellar floor.",This simple white is tart and long.,"Monterey's cool-climate flavors of lemons and limes marry richer, more tropical Santa Barbara notes in this creamy smooth Chardonnay. Oak plays a prominent role, lending an edge of vanilla and buttered toast. This is a very good price for the quality.","This wood-aged wine comes from a small parcel of old vines in the Quinta Nova vineyard. With its ripe, smooth and creamy texture, it has a full, almost Burgundian feel. Ripe peach combines with vanilla to make a wine that has concentration and richness, cut with final acidity."
"An interesting wine, grown in Cabernet country, that's as full-bodied as a red wine. The flavors are solidly Viognier, though, with exotic tropical fruits and wild flowers that drink almost off-dry. Plenty of oak and sur lie aging provide textural complexities.  —S.H.","Concentrated lavender and incense aromas make for a woody perfume on the nose of this appellation blend, giving lots of character to the core of cherry syrup. The palate shows the same levels of intense incense and purple flowers, which nearly overpowers the cranberry and pomegranate fruits.",With a hint of oak that may come from the same time.,"Vendôme's situation, north of the River Loire, naturally lends itself to this bright style of rosé. It has a fine structure, forward red fruits and a light vanilla touch, well balanced and ready for food.","There's a touch of fresh herbs, graphite and slate aromas and not fresh.","This blend of Verdejo and Viura deals floral aromas along with hints of honey, apple and peach. It's zesty enough in the mouth, with ripe peach and melon flavors, but it's not sweet. The texture on the finish holds up to scrutiny and the afterflavors are good. Drink now.",The level of tannic density that demands time in bottle.,"Strawberry and red-plum fruits are blended together to yield a full, ample mouthfeel and the length and a crisp finish.","This Burgundian-styled Oz Pinot is harmonious and sturdy, though a little tight and sour at this stage. Tree bark and meat aromas usher in mixed cherries, orange peel and oak flavors. Medium-long and chewy on the finish. Could benefit from a few years in the cellar. Imported by Epic Wines.","Lots of enjoyable cherry, currant, licorice and sandalwood flavors in this dry, crisp Pinot Noir. Firm tannins give it some toughness, but it doesn't seem to be an ager, so drink over the next 3–4 years."
"Lots of ripe fruit in this wine, offering rich flavors of raspberries, cherries, persimmons and red plums, with a tart note of cranberry. Tastes fresh, lively, and rather young. Drink over the next six years.","Flamboyant, but controlled black currant conspire for a thin and brambly berry fruit, and the finish is a dense, full of warm alcohol.","A full-bodied expression of the variety, blended with 5% Cabernet Sauvignon, this soft, rounded wine is dense in blueberry and currant, with a complexity of leather, pencil and soy. A pinpoint of reduction on the finish gives it a tinge of bitterness.","This structured, complex Chardonnay is plump and short on dimension.",Its delicious barrel flavors of citrus and peach.,Decant for an apéritif or midday-in-the-garden wine.,"Fairly acidic, which is one of juiciness from the very fruity wine, with textured pear and apricot flavors give it a clean, refreshing finish.","Yellow in color, with heavy popcorn oak and aromas of burnt almonds. The flavors are of melon rind and buttered toast, and while the finish isn't exactly cloying, it's definitely thick and grabbing. Seemingly 1998 is just too old for a white wine with a pedestrian pedigree.",A wine with huge aromatic intensity and personality.,This seven-acre Petit family estate is dominated by Merlot that gives the wine its rich generous character. In this vintage it was balanced by crisp acidity and a lively aftertaste. The tannins promise further aging. Drink from 2020.
"Dry, dusty cassis aromas and flavors, but a crescendoing citrus-driven acidity of Carneros, where it should—on the midpalate give way to melon, cream and butterscotch nuances.",This is a new winery from California grapes at night to preserve acidity and velvety and bursting boysenberry and purple flowers and peach.,"There's elegance as well, but age for several years.","Similar to Loring's other single-vineyard Pinots in the exceptionally ripe fruit, with flavors veering into blackberry and cherry pastry, deep espresso, cocoa and spice. However there's considerably more tartness here, with a brisk acidic tingle that accentuates the tannins. Best to cellar this young wine for five years and try again.",It's balanced but hold to let Zinfandel ripen to excess.,"Very ripe and aromatic, throwing out cascades of inviting scents. New toasty oak dominates, with undercurrents of blackberry jam, blueberry, mocha and anise. In the mouth, huge, lush, powerful, an explosively fruity young wine, yet maintains balance and elegance. Really good. Best now–2015.","Fresh-pressed blackberry, cedar, dark-chocolate shavings, charcoal and powdery in scent, this has powerful blackberry jam and white rose and lavender honey.",Floral and peppery Provençal herbs and a hint of burn and raisin.,"A wine that is all about crispness, structure and bright fruits. The creamy texture from lees aging gives a rounder dimension, but the main thrust here is minerality coupled with delicious acidity.","Horse & Plow turns out so many lovely wines it's heartbreaking not to include this one in the mix. It was sourced from one of the great organic Mendocino vineyards, old vines no less, but there just wasn't much there, the wine tasting tight without much fruit."
